platform,profile,motor,report,completed,cases,pass_0_2,pass_0_2_4,failures,loaded_dry_mass_g,loaded_launch_mass_g,apogee_m,peak_powered_speed_m_s,guide_departure_m_s,minimum_ascent_stability_cal,deployment_speed_m_s,landing_descent_m_s,landing_displacement_m,peak_powered_specific_force_estimate_g
24-e,heavy-build,E12-4,bt60-24-e-heavy-build/report.md,9,9,0,0,"{""deployment_speed_m_s"": 9, ""minimum_ascent_stability_cal"": 4}",191.3044289977738,251.2044289977738,"[291.7470464342228, 294.48021924726567]","[77.94982921404817, 78.08882015923358]","[12.89288497698504, 12.897464529759423]","[1.2069110851103613, 1.6279228193174693]","[18.043602896563968, 18.18518043415486]","[5.721008182194449, 5.721073341513245]","[0.1269294839698604, 68.39315328352147]","[13.669170861050105, 13.67551916806461]"
24-e,heavy-build,E12-6,bt60-24-e-heavy-build/report.md,9,9,4,4,"{""minimum_ascent_stability_cal"": 5}",191.3044289977738,251.2044289977738,"[303.5037261545712, 306.6937494662071]","[77.94982921404817, 78.08882015923358]","[12.89288497698504, 12.897464529759423]","[1.2069110851103613, 1.3243436591048332]","[1.992065644314424, 4.541576514466806]","[5.721008093355992, 5.721073317614371]","[0.1882833798971932, 62.32360053206421]","[13.669170861050105, 13.67551916806461]"
24-e,heavy-build,E12-8,bt60-24-e-heavy-build/report.md,9,9,0,0,"{""minimum_ascent_stability_cal"": 5, ""deployment_speed_m_s"": 9}",191.3044289977738,251.2044289977738,"[303.5037261545712, 306.6937494662071]","[77.94982921404817, 78.08882015923358]","[12.89288497698504, 12.897464529759423]","[1.2069110851103613, 1.3243436591048332]","[15.520938413446263, 20.8213701036108]","[5.72100815256446, 5.72107333176513]","[0.08858350577359335, 47.582240822582634]","[13.669170861050105, 13.67551916806461]"
18-c5,inert-plus20,C5-3,bt60-18-c5-inert-plus20/report.md,9,9,2,2,"{""minimum_ascent_stability_cal"": 1, ""guide_departure_m_s"": 6, ""deployment_speed_m_s"": 6}",177.14877548614092,200.94877548614093,"[45.08540280824234, 47.175365627334976]","[19.131420699220833, 19.247074618846966]","[11.749275768565031, 11.754898768380054]","[2.046346042289475, 2.3743713519635534]","[10.402068868724768, 12.112340784158647]","[5.373536085424346, 5.373597339746082]","[0.2947034342890662, 6.124844320610052]","[10.486418788588567, 10.493125209382358]"
24-cd,inert-plus20,C11-3,bt60-24-cd-inert-plus20/report.md,9,9,0,0,"{""launch_mass_g"": 9, ""minimum_ascent_stability_cal"": 2, ""guide_departure_m_s"": 6}",182.14877548614092,217.4487754861409,"[62.46212343757115, 63.14173114826816]","[33.064778857878935, 33.19957450133842]","[11.49491848837082, 11.50011997506381]","[1.381048586033406, 2.178730340778049]","[1.0233609910006145, 1.7274003300780896]","[5.588512761313452, 5.588576475315513]","[0.01754409433558113, 14.972018469571722]","[10.362434779150693, 10.369202606385414]"
24-cd,inert-plus20,C11-5,bt60-24-cd-inert-plus20/report.md,9,9,0,0,"{""launch_mass_g"": 9, ""minimum_ascent_stability_cal"": 3, ""deployment_speed_m_s"": 9, ""guide_departure_m_s"": 6}",182.14877548614092,217.4487754861409,"[62.4667475007168, 63.14342323290723]","[33.064778857878935, 33.19957450133842]","[11.49491848837082, 11.50011997506381]","[1.2823816616479347, 2.0933957790218907]","[14.605847750540441, 16.231114513991304]","[5.5885126626177195, 5.588576429840059]","[0.4396936546995094, 6.564079893948338]","[10.362434779150693, 10.369202606385414]"
24-cd,inert-plus20,D12-3,bt60-24-cd-inert-plus20/report.md,9,9,0,0,"{""deployment_speed_m_s"": 9, ""minimum_ascent_stability_cal"": 2}",182.14877548614092,224.74877548614091,"[163.68176118851457, 165.27258973097165]","[57.075692164729965, 57.222492327789716]","[12.8223209563688, 12.827432173974605]","[1.6199643768514, 2.0426992888921913]","[17.318190541510575, 17.341538670002528]","[5.5639737163574425, 5.564037172218721]","[0.049385678912025305, 41.29583642828355]","[13.718901653065076, 13.725823767814205]"
24-cd,inert-plus20,D12-5,bt60-24-cd-inert-plus20/report.md,9,9,5,7,"{""minimum_ascent_stability_cal"": 2}",182.14877548614092,224.74877548614091,"[174.55439493754105, 176.50949947771514]","[57.075692164729965, 57.222492327789716]","[12.8223209563688, 12.827432173974605]","[1.5591904984146925, 1.6852877046383428]","[2.6941702336744937, 4.146667615433227]","[5.563973757774953, 5.564037133900687]","[0.0818972425831012, 36.83133254912832]","[13.718901653065076, 13.725823767814205]"
24-cd,inert-plus20,D12-7,bt60-24-cd-inert-plus20/report.md,9,9,0,0,"{""minimum_ascent_stability_cal"": 3, ""deployment_speed_m_s"": 9}",182.14877548614092,224.74877548614091,"[174.55439493754105, 176.50949947771514]","[57.075692164729965, 57.222492327789716]","[12.8223209563688, 12.827432173974605]","[1.5591904984146925, 1.6852877046383428]","[17.241811496755954, 21.031399699934326]","[5.563973735517761, 5.564037193171225]","[1.010016666408885, 23.073379636275003]","[13.718901653065076, 13.725823767814205]"
24-e,inert-plus20,E12-4,bt60-24-e-inert-plus20/report.md,9,9,0,0,"{""minimum_ascent_stability_cal"": 3, ""deployment_speed_m_s"": 9}",181.14877548614092,241.04877548614093,"[302.6806297475659, 305.376153512626]","[81.13646492785406, 81.27633233814925]","[12.983762499911615, 12.988467383032951]","[1.4181512713176345, 1.8368328107170884]","[18.745864503671225, 18.850955061674576]","[5.584430406104885, 5.584494119081557]","[0.1257920285542361, 74.64833259621022]","[14.254588780167044, 14.26115529734239]"
