body_mm,nose_mm,nose_shape,span_mm,fin_root_mm,motor,wind_m_s,launch_mass_g,loaded_cg_mm,apogee_m,guide_m_s,stability_cal,deployment_m_s,descent_m_s,drift_m,status
530.0,50.0,conical,55.0,65.0,D12-5,4.0,220.1791069854244,332.914977378047,171.72875905839425,12.891260910466528,1.949460732598168,6.846908714626376,4.905785509637092,93.43455402778677,completed
530.0,50.0,conical,65.0,65.0,D12-5,4.0,222.56498909616636,335.3333450896094,165.83336222698335,12.726581624024362,2.3065776831653224,7.652639720361382,4.935098369624805,85.41862909838136,completed
530.0,60.0,conical,45.0,65.0,D12-5,4.0,218.42290559997505,339.5284149415167,179.62579871549832,12.773607045080798,1.4369319950379986,5.926768399945887,4.884096484102122,103.2907545584994,completed
530.0,60.0,conical,50.0,65.0,D12-5,4.0,219.61584665534602,340.7722321122921,176.36970127986385,12.690881943879404,1.6949043547706504,6.370833571012428,4.898839663315891,98.34346461459043,completed
530.0,60.0,conical,53.65384615384615,65.0,D12-5,4.0,220.48761127273255,341.67266383814655,174.08074746736415,12.871206805779586,1.8759981437944513,6.651463346807877,4.909585633018358,95.21556213842335,completed
530.0,60.0,conical,55.0,65.0,D12-5,4.0,220.808787710717,342.0026095954196,173.23982265704637,12.848887579611162,1.9330284045444552,6.762356637631703,4.913538725762459,94.02846296496179,completed
530.0,60.0,conical,65.0,65.0,D12-5,4.0,223.19466982145903,344.4239074953993,167.19905673847956,12.685114060901833,2.2935430870212463,7.546124137869491,4.9428056418236785,85.90999282013593,completed
530.0,70.0,conical,45.0,65.0,D12-5,4.0,219.05258632526755,348.6040909831692,180.47230277328492,12.730839330297206,1.416337437357877,5.91282838878212,4.8918840206658905,103.53928031069704,completed
530.0,70.0,conical,50.0,65.0,D12-5,4.0,220.24552738063855,349.84935860927953,177.19565797816412,12.889129850069398,1.6909626299135385,6.3223379333072955,4.906603920442624,98.73093105490139,completed
530.0,70.0,conical,53.65384615384615,65.0,D12-5,4.0,221.11729199802508,350.75086462453845,174.84462932307548,12.82856195247422,1.8589508176058964,6.619600812630577,4.917332833499142,95.37571706161431,completed
530.0,70.0,conical,55.0,65.0,D12-5,4.0,221.43846843600954,351.08120913684667,173.9834501477287,12.806367791948528,1.9164748941673235,6.731016686715429,4.921279705199485,94.15716089016269,completed
530.0,70.0,conical,65.0,65.0,D12-5,4.0,223.82435054675153,353.5055170232354,167.85132030233444,12.64350652075562,2.280396701100552,7.505312920245572,4.950500979473693,85.93719107897093,completed
530.0,40.0,ellipsoid,45.0,65.0,D12-5,4.0,220.87762844982734,316.180559180081,182.80173548919768,12.848313233842974,1.4954237799610302,6.100858871744027,4.914385641600563,103.17677148797175,completed
530.0,40.0,ellipsoid,50.0,65.0,D12-5,4.0,222.07056950519836,317.42861179798155,179.35288283495316,12.76600132355916,1.7555133997288574,6.478557386165927,4.929038295941897,98.11783196345864,completed
530.0,40.0,ellipsoid,53.65384615384615,65.0,D12-5,4.0,222.94233412258484,318.33220371122036,176.90606836151628,12.70640498438631,1.9230798019759752,6.738016210510149,4.939718509893376,94.74258835517324,completed
530.0,40.0,ellipsoid,55.0,65.0,D12-5,4.0,223.26351056056933,318.6633272323589,176.0063651636098,12.684565922676919,1.9804608948727638,6.840295401398355,4.943647521057963,93.49329714588595,completed
530.0,40.0,ellipsoid,65.0,65.0,D12-5,4.0,225.64939267131132,321.0935926670943,169.66801293842263,12.760764738352256,2.358391537509843,7.516379248038019,4.972737341399393,85.42157535549089,completed
530.0,50.0,ellipsoid,45.0,65.0,D12-5,4.0,222.13667689918347,324.3430602206106,181.36113371305385,12.762129280795445,1.4679730978398993,6.130542038522102,4.929849035561836,101.65406951042257,completed
530.0,50.0,ellipsoid,50.0,65.0,D12-5,4.0,223.3296179545545,325.59389200072155,177.9419903602146,12.680757736762624,1.731314398388483,6.52975193770412,4.944455884651277,96.5853706967234,completed
530.0,50.0,ellipsoid,53.65384615384615,65.0,D12-5,4.0,224.201382571941,326.4995435703263,175.51604004556916,12.62183912815821,1.9011726023692597,6.800761692731222,4.955102883644566,93.20755755705986,completed
530.0,50.0,ellipsoid,55.0,65.0,D12-5,4.0,224.5225590099255,326.83143185515286,174.67214557001375,12.838058452607223,1.9743587182782663,6.872307207030128,4.959019709623476,92.22813647757363,completed
530.0,50.0,ellipsoid,65.0,65.0,D12-5,4.0,226.90844112066748,329.2674743534281,168.3435552577263,12.676849759460438,2.343336298827312,7.607107260252,4.988020004554846,83.88558559090181,completed
530.0,60.0,ellipsoid,45.0,65.0,D12-5,4.0,223.39572324881033,332.48400623178475,179.8096357876265,12.676917544445708,1.4405156059512068,6.1655638251052896,4.945264001275466,100.0704414972527,completed
530.0,60.0,ellipsoid,50.0,65.0,D12-5,4.0,224.58866430418132,333.73770051897105,176.45434844928232,12.8342336201781,1.7219079270213493,6.56465090803708,4.959825550711254,95.1702273534086,completed
530.0,60.0,ellipsoid,53.65384615384615,65.0,D12-5,4.0,225.46042892156785,334.6454717720894,174.05942602305993,12.774968560898467,1.894385291848583,6.84554526074323,4.9704396400625965,91.82734378537646,completed
530.0,60.0,ellipsoid,55.0,65.0,D12-5,4.0,225.7816053595523,334.9781467527239,173.1953501820088,12.75325229305594,1.9535101855492336,6.945552530219456,4.974344393660059,90.64971099329914,completed
530.0,60.0,ellipsoid,65.0,65.0,D12-5,4.0,228.1674874702943,337.4201262465457,166.95525942123595,12.593860794252983,2.3282176163373878,7.694666603183128,5.0032558993195995,82.39679887726085,completed
530.0,70.0,ellipsoid,45.0,65.0,D12-5,4.0,224.6547808645581,340.60374268205516,178.26676810276186,12.830378953499759,1.4273477011446767,6.176217825541508,4.960631317680077,98.71206532346594,completed
530.0,70.0,ellipsoid,50.0,65.0,D12-5,4.0,225.84772191992909,341.86037952822613,174.90981995462727,12.749463082707694,1.697913641423164,6.629022385452833,4.975147894358772,93.56786017003151,completed
530.0,70.0,ellipsoid,53.65384615384615,65.0,D12-5,4.0,226.7194865373156,342.7703281226623,172.55720560453582,12.690872112544726,1.872707950169678,6.915428610770742,4.985729379902848,90.27969223830544,completed
530.0,70.0,ellipsoid,55.0,65.0,D12-5,4.0,227.04066297530008,343.1038108660458,171.69970555412505,12.66939949187346,1.9326515991733728,7.019819204945542,4.989622172709751,89.10035860874399,completed
530.0,70.0,ellipsoid,65.0,65.0,D12-5,4.0,229.42654508604207,345.55188098718315,165.5820779368917,12.746165685719053,2.328865610741611,7.756772757960591,5.018445697128058,81.1533459158057,completed
530.0,40.0,ogive,45.0,65.0,D12-5,4.0,219.8213667099249,317.66936397925053,184.23419850314485,12.921254632453044,1.494337253582849,6.04456107763509,4.901375228532483,104.79157634754951,completed
530.0,40.0,ogive,50.0,65.0,D12-5,4.0,221.0143077652959,318.91534530075717,180.7503904309795,12.838145027901204,1.7530422365783445,6.401341517816314,4.916066647594993,99.75448569840049,completed
530.0,40.0,ogive,53.65384615384615,65.0,D12-5,4.0,221.8860723826824,319.8173974503998,178.26166699626685,12.777973112587707,1.919549541643815,6.657485126303636,4.926774976690829,96.31328066023408,completed
530.0,40.0,ogive,55.0,65.0,D12-5,4.0,222.2072488206669,320.1479482803729,177.355312462391,12.755923699610268,1.9765483719766974,6.755482631401208,4.930714299178962,95.07083895340644,completed
530.0,40.0,ogive,65.0,65.0,D12-5,4.0,224.5931309314089,322.5738719331529,170.93823421376482,12.8317802174644,2.3517120363857926,7.412648501464325,4.9598799543638785,86.95116422192346,completed
530.0,50.0,ogive,45.0,65.0,D12-5,4.0,220.7691948304798,326.29469915808664,183.05152976642233,12.855675047528505,1.4707072952957105,6.060732597847666,4.913051587606704,103.60550516619175,completed
530.0,50.0,ogive,50.0,65.0,D12-5,4.0,221.9621358858508,327.5427480302883,179.5920112184227,12.773284051848108,1.7319119637105913,6.438258866557593,4.927708201462035,98.52918397596795,completed
530.0,50.0,ogive,53.65384615384615,65.0,D12-5,4.0,222.83390050323732,328.4463331214623,177.13209987409834,12.71363070255275,1.900248376593187,6.700178726976656,4.93839137755532,95.12200801265655,completed
530.0,50.0,ogive,55.0,65.0,D12-5,4.0,223.1550769412218,328.7774532783234,176.22736376957613,12.691770802588596,1.9579030780465707,6.8035292504254405,4.942321446158249,93.85841833515023,completed
530.0,50.0,ogive,65.0,65.0,D12-5,4.0,225.54095905196377,331.2076798340259,169.86051823872276,12.767934682060192,2.3378379090534933,7.485453621291005,4.9714190331169155,85.72322425943679,completed
530.0,60.0,ogive,45.0,65.0,D12-5,4.0,221.72953368653626,334.88788341774205,181.85301166819318,12.789797650483505,1.4465323393891878,6.075184245695026,4.924853839277969,102.4300129473689,completed
530.0,60.0,ogive,50.0,65.0,D12-5,4.0,222.92247474190725,336.1380841520576,178.4193597440447,12.70812635329855,1.7103636590074742,6.47335675125333,4.939475527460539,97.33368989303989,completed
530.0,60.0,ogive,53.65384615384615,65.0,D12-5,4.0,223.79423935929373,337.04326351302427,175.98301154584848,12.648991687859965,1.8805517202002417,6.743927414767742,4.950133247321455,93.93676924782439,completed
530.0,60.0,ogive,55.0,65.0,D12-5,4.0,224.11541579727822,337.3749755316541,175.0979349454835,12.627321350653776,1.9388707848505924,6.844380173426387,4.954054002737053,92.72068763081197,completed
530.0,60.0,ogive,65.0,65.0,D12-5,4.0,226.50129790802023,339.8096714020377,168.79319761664675,12.703795412148406,2.323690742887771,7.543579592668559,4.983083098820446,84.61601800269945,completed
530.0,70.0,ogive,45.0,65.0,D12-5,4.0,222.69957540255473,343.45301751906203,180.62737271750646,12.723830471985663,1.4221300932747618,6.097542673245094,4.936746699815023,101.20723618344077,completed
530.0,70.0,ogive,50.0,65.0,D12-5,4.0,223.89251645792572,344.7054468386904,177.2171042556081,12.642876692683412,1.6885994316343502,6.5183870373702275,4.951333296835216,96.06908085986863,completed
530.0,70.0,ogive,53.65384615384615,65.0,D12-5,4.0,224.76428107531223,345.6122761983886,174.85014911936167,12.821793316994988,1.8759018193993044,6.765876171828952,4.961965539912807,92.9464126813013,completed
530.0,70.0,ogive,55.0,65.0,D12-5,4.0,225.0854575132967,345.94460053961933,173.97378430682903,12.799938790191153,1.9349508095946724,6.86824978039074,4.965876954651185,91.73547908960627,completed
530.0,70.0,ogive,65.0,65.0,D12-5,4.0,227.4713396240387,348.3839165504866,167.70182014067638,12.639556390709805,2.309381102500539,7.609501802530753,4.994837457252298,83.46331472573229,completed
