design,body_mm,nose_mm,nose_shape,motor,fin_count,span_mm,variant,variant_size,wind_m_s,wind_heading_deg,launch_mass_g,loaded_cg_mm,added_mass_g,collar_mass_g,status,warnings,apogee_m,guide_m_s,stability_cal,deployment_m_s,descent_m_s,drift_m
b530-n40-ogive-E12-3f-s53p6538-ballast-10,530,40,ogive,E12-6,3,53.65384615384615,ballast,10,4,0,248.18607238268243,319.043995659144,10,27.0,completed,[],311.45289543427265,12.840644339975693,1.9398899122036959,8.593275372327955,5.066033560599615,158.54905090295264
b530-n40-ogive-E12-3f-s53p6538-ballast-10,530,40,ogive,E12-6,3,53.65384615384615,ballast,10,4,90,248.18607238268243,319.043995659144,10,27.0,completed,[],311.44990075012043,12.840644774879747,1.9398903212062286,8.565330756946494,5.065918344011117,158.72094858062644
b530-n40-ogive-E12-3f-s53p6538-canard-10,530,40,ogive,E12-6,3,53.65384615384615,canard,10,0,0,240.07887238268242,329.4577461770264,1.8927999999999998,27.0,completed,[],331.2945367904968,13.051599429174777,2.428144373294961,0.3671849359998394,4.968344265108196,0.2069278833312506
b530-n40-ogive-E12-3f-s53p6538-canard-10,530,40,ogive,E12-6,3,53.65384615384615,canard,10,4,0,240.07887238268242,329.4577461770264,1.8927999999999998,27.0,completed,[],319.6893060117091,13.04553621527156,1.4376175095908286,7.640292729293429,4.968343931075191,176.34931573773966
b530-n40-ogive-E12-3f-s53p6538-canard-10,530,40,ogive,E12-6,3,53.65384615384615,canard,10,4,90,240.07887238268242,329.4577461770264,1.8927999999999998,27.0,completed,[],319.68834584828494,13.045536683250763,1.437617887920509,7.6117774147286354,4.968230971231423,176.52582688770644
b530-n40-ogive-E12-3f-s53p6538-canard-20,530,40,ogive,E12-6,3,53.65384615384615,canard,20,0,0,240.9716723826824,328.4594052790772,2.7855999999999996,27.0,completed,[],323.92903210329,12.993862767808675,1.6277866159723897,0.6107789718196585,4.979196170235763,0.1928575811077005
b530-n40-ogive-E12-3f-s53p6538-canard-20,530,40,ogive,E12-6,3,53.65384615384615,canard,20,4,0,240.9716723826824,328.4594052790772,2.7855999999999996,27.0,completed,[],313.7444295542518,12.987559042802916,0.9516990198561366,6.949740799505067,4.979195771298845,178.08271469728922
b530-n40-ogive-E12-3f-s53p6538-canard-20,530,40,ogive,E12-6,3,53.65384615384615,canard,20,4,90,240.9716723826824,328.4594052790772,2.7855999999999996,27.0,completed,[],313.7443899685447,12.987559537426806,0.951699289500322,6.922168509030972,4.979082568636083,178.25694064917076
b530-n40-ogive-E12-3f-s53p6538-canard-mass-only-10,530,40,ogive,E12-6,3,53.65384615384615,canard-mass-only,10,0,0,240.07887238268242,329.4577461770264,1.8927999999999998,27.0,completed,[],335.1574507959865,13.052036781973495,2.8579610825262245,0.9325768936002263,4.968344267509172,0.20908775165978746
b530-n40-ogive-E12-3f-s53p6538-canard-mass-only-10,530,40,ogive,E12-6,3,53.65384615384615,canard-mass-only,10,4,0,240.07887238268242,329.4577461770264,1.8927999999999998,27.0,completed,[],322.9202808240657,13.046156341972068,1.6967685869047573,7.980114215422292,4.9683439199984125,175.84809497205526
b530-n40-ogive-E12-3f-s53p6538-canard-mass-only-10,530,40,ogive,E12-6,3,53.65384615384615,canard-mass-only,10,4,90,240.07887238268242,329.4577461770264,1.8927999999999998,27.0,completed,[],322.9192384687654,13.04615679674897,1.696769023900325,7.950736551958181,4.968230960595777,176.0290672439206
