finish_allowance_g,body_mm,nose_mm,nose_shape,span_mm,fin_root_mm,motor,wind_m_s,launch_mass_g,loaded_cg_mm,apogee_m,guide_m_s,stability_cal,deployment_m_s,descent_m_s,drift_m,status
3,530.0,40.0,conical,53.65384615384615,,D12-5,0.0,246.2138997865769,311.039586811035,151.30402264144337,12.384112767387379,2.5548338753994857,6.205825691381832,5.21687187361483,0.02943357146781833,completed
3,530.0,40.0,conical,53.65384615384615,,D12-5,2.0,246.2138997865769,311.039586811035,149.32859818556054,12.37897696305609,2.4136987891037207,6.791950866369261,5.216812411982593,30.882675681581173,completed
3,530.0,40.0,conical,53.65384615384615,,D12-5,4.0,246.2138997865769,311.039586811035,143.88554203390373,12.377250256447509,2.1796147357664246,9.828883501590642,5.2167529033621,59.6108257586262,completed
3,530.0,40.0,conical,53.65384615384615,,E12-6,0.0,262.5138997865769,322.27443851746995,282.21100412367076,12.689177332933387,2.102493099466323,4.564612872168512,5.234226221836698,0.15519397445263647,completed
3,530.0,40.0,conical,53.65384615384615,,E12-6,2.0,262.5138997865769,322.27443851746995,278.84695346647743,12.684311821248116,2.3531322710796823,6.23780683070922,5.234166452360745,61.74623258115258,completed
3,530.0,40.0,conical,53.65384615384615,,E12-6,4.0,262.5138997865769,322.27443851746995,269.51411596477635,12.682489244200491,1.9212744385255502,10.21044434092992,5.234106840059643,120.31913548760669,completed
3,530.0,40.0,ogive,53.65384615384615,,D12-5,0.0,249.40328685921887,307.2789264282484,156.2638541688216,12.364678730394763,3.0645382577258022,4.793057143527636,5.253703017076313,0.057064586073876565,completed
3,530.0,40.0,ogive,53.65384615384615,,D12-5,2.0,249.40328685921887,307.2789264282484,154.20243794122132,12.360590872176303,2.506561195288967,5.900970937296372,5.253643105770903,31.00738863001608,completed
3,530.0,40.0,ogive,53.65384615384615,,D12-5,4.0,249.40328685921887,307.2789264282484,148.48418299052076,12.359287398598493,2.2004080787199767,9.386232804218622,5.253583126781589,60.07488513289608,completed
3,530.0,40.0,ogive,53.65384615384615,,E12-6,0.0,265.70328685921885,318.60962366879363,301.24641308671596,12.51117139286365,2.6461258112084987,1.1818001750038223,5.270936043362568,0.19390487637438628,completed
3,530.0,40.0,ogive,53.65384615384615,,E12-6,2.0,265.70328685921885,318.60962366879363,297.55045732676285,12.507369492866909,2.3738397844913695,5.05511663649452,5.270875976556957,64.35157989051831,completed
3,530.0,40.0,ogive,53.65384615384615,,E12-6,4.0,265.70328685921885,318.60962366879363,287.291024103186,12.50607311280918,1.930581492444182,9.815716464756365,5.27081585909078,126.1837163377245,completed
3,530.0,40.0,ellipsoid,53.65384615384615,,D12-5,0.0,250.6708009471018,305.75723989554484,154.962450790406,12.289945508969852,2.0646691828300945,4.972644946034662,5.268268769376565,0.05433447263827354,completed
3,530.0,40.0,ellipsoid,53.65384615384615,,D12-5,2.0,250.6708009471018,305.75723989554484,152.89730556344537,12.285929121691453,2.5216093205940155,6.054194304749703,5.268208671779045,30.277361731799406,completed
3,530.0,40.0,ellipsoid,53.65384615384615,,D12-5,4.0,250.6708009471018,305.75723989554484,147.16841172040176,12.284677269414164,2.2042559931488213,9.53521220312956,5.268148663766263,58.5806769392042,completed
3,530.0,40.0,ellipsoid,53.65384615384615,,E12-6,0.0,266.9708009471018,317.12704879949337,298.8854957080066,12.440420200249147,2.501283060903583,1.3976204103840402,5.285454390024543,0.19278795011993685,completed
3,530.0,40.0,ellipsoid,53.65384615384615,,E12-6,2.0,266.9708009471018,317.12704879949337,295.17679336625866,12.436670068912422,2.382066247282108,5.139735517737509,5.285394116323876,63.08863682875638,completed
3,530.0,40.0,ellipsoid,53.65384615384615,,E12-6,4.0,266.9708009471018,317.12704879949337,284.8856694649606,12.435420247190244,1.9339098735046985,9.924383501623634,5.285333843057706,123.62273361882546,completed
3,530.0,50.0,conical,53.65384615384615,,D12-5,0.0,246.9695166569279,320.112353656152,153.05622089918728,12.339904336711331,2.180417346511938,5.742873296135268,5.225621188707544,0.04016906006128919,completed
3,530.0,50.0,conical,53.65384615384615,,D12-5,2.0,246.9695166569279,320.112353656152,151.05715375530966,12.335122416838287,2.4108034576405877,6.461005109958572,5.225561626495012,31.07955930261493,completed
3,530.0,50.0,conical,53.65384615384615,,D12-5,4.0,246.9695166569279,320.112353656152,145.5581646717344,12.33355560989086,2.1626026856995693,9.624074781741676,5.225502100415564,60.15790389727377,completed
3,530.0,50.0,conical,53.65384615384615,,E12-6,0.0,263.26951665692786,331.37236838572557,288.1422363234341,12.646879263207467,2.601266198794282,3.5365438471609467,5.242946576927169,0.16956787477281826,completed
3,530.0,50.0,conical,53.65384615384615,,E12-6,2.0,263.26951665692786,331.37236838572557,284.6923029962567,12.642347929467592,2.344184520023654,5.6878441798932045,5.242886736137295,62.81399684868771,completed
3,530.0,50.0,conical,53.65384615384615,,E12-6,4.0,263.26951665692786,331.37236838572557,275.14677311788023,12.640687830922692,1.9041771679584814,9.921641427916041,5.242827021049721,122.78337072484774,completed
